Iteration 93, D_loss = 0.0000,G_loss = 21.1356,train acc = 0.8217, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 94, D_loss = 0.6617,G_loss = 11.2385,train acc = 0.8107, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 95, D_loss = 0.0642,G_loss = 10.7496,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 96, D_loss = 0.0147,G_loss = 12.0733,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 97, D_loss = 0.0039,G_loss = 14.2380,train acc = 0.8235, test acc = 0.8264,best acc = 0.8715,lr = 0.00020000 
Iteration 98, D_loss = 0.0016,G_loss = 14.2953,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 99, D_loss = 0.0008,G_loss = 15.1651,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 100, D_loss = 0.0008,G_loss = 14.9479,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 101, D_loss = 0.0246,G_loss = 17.0129,train acc = 0.8284, test acc = 0.8264,best acc = 0.8715,lr = 0.00020000 
Iteration 102, D_loss = 0.0005,G_loss = 18.5112,train acc = 0.8266, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 103, D_loss = 0.0004,G_loss = 18.3527,train acc = 0.8205, test acc = 0.8472,best acc = 0.8715,lr = 0.00020000 
Iteration 104, D_loss = 0.0008,G_loss = 17.3757,train acc = 0.8339, test acc = 0.8438,best acc = 0.8715,lr = 0.00020000 
Iteration 105, D_loss = 0.0053,G_loss = 19.1083,train acc = 0.8315, test acc = 0.8299,best acc = 0.8715,lr = 0.00020000 
Iteration 106, D_loss = 0.0000,G_loss = 19.6035,train acc = 0.8192, test acc = 0.8472,best acc = 0.8715,lr = 0.00020000 
Iteration 107, D_loss = 0.0139,G_loss = 18.9718,train acc = 0.8241, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 108, D_loss = 0.0002,G_loss = 18.4067,train acc = 0.8223, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 109, D_loss = 0.0001,G_loss = 19.0596,train acc = 0.8241, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 110, D_loss = 0.0001,G_loss = 19.5141,train acc = 0.8229, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 111, D_loss = 0.0000,G_loss = 19.7190,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 112, D_loss = 0.0000,G_loss = 19.8243,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 113, D_loss = 0.0000,G_loss = 20.0578,train acc = 0.8211, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 114, D_loss = 0.0035,G_loss = 19.2012,train acc = 0.8162, test acc = 0.8194,best acc = 0.8715,lr = 0.00020000 
Iteration 115, D_loss = 0.0001,G_loss = 18.8480,train acc = 0.8143, test acc = 0.8229,best acc = 0.8715,lr = 0.00020000 
Iteration 116, D_loss = 0.0001,G_loss = 19.0045,train acc = 0.8229, test acc = 0.8576,best acc = 0.8715,lr = 0.00020000 
Iteration 117, D_loss = 0.0000,G_loss = 19.2374,train acc = 0.8199, test acc = 0.8264,best acc = 0.8715,lr = 0.00020000 
Iteration 118, D_loss = 0.0000,G_loss = 19.4419,train acc = 0.8162, test acc = 0.8403,best acc = 0.8715,lr = 0.00020000 
Iteration 119, D_loss = 0.0000,G_loss = 19.6335,train acc = 0.8192, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 120, D_loss = 0.0000,G_loss = 20.1275,train acc = 0.8241, test acc = 0.8125,best acc = 0.8715,lr = 0.00020000 
Iteration 121, D_loss = 0.0000,G_loss = 21.1693,train acc = 0.8192, test acc = 0.7917,best acc = 0.8715,lr = 0.00020000 
Iteration 122, D_loss = 0.0000,G_loss = 21.1525,train acc = 0.8156, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 123, D_loss = 0.0000,G_loss = 21.1808,train acc = 0.8241, test acc = 0.8576,best acc = 0.8715,lr = 0.00020000 
Iteration 124, D_loss = 0.0000,G_loss = 21.2380,train acc = 0.8088, test acc = 0.8194,best acc = 0.8715,lr = 0.00020000 
Iteration 125, D_loss = 0.0000,G_loss = 21.3529,train acc = 0.8168, test acc = 0.8403,best acc = 0.8715,lr = 0.00020000 
Iteration 126, D_loss = 0.0000,G_loss = 21.4164,train acc = 0.8272, test acc = 0.8368,best acc = 0.8715,lr = 0.00020000 
Iteration 127, D_loss = 0.0000,G_loss = 21.4543,train acc = 0.8174, test acc = 0.8542,best acc = 0.8715,lr = 0.00020000 
Iteration 128, D_loss = 0.0000,G_loss = 21.4117,train acc = 0.8217, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 129, D_loss = 0.0000,G_loss = 20.3715,train acc = 0.8303, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 130, D_loss = 0.0000,G_loss = 20.4356,train acc = 0.8119, test acc = 0.8368,best acc = 0.8715,lr = 0.00020000 
Iteration 131, D_loss = 0.0000,G_loss = 20.4843,train acc = 0.8131, test acc = 0.8507,best acc = 0.8715,lr = 0.00020000 
Iteration 132, D_loss = 0.0000,G_loss = 20.5339,train acc = 0.8015, test acc = 0.8021,best acc = 0.8715,lr = 0.00020000 
Iteration 133, D_loss = 0.0000,G_loss = 20.5898,train acc = 0.8174, test acc = 0.8264,best acc = 0.8715,lr = 0.00020000 
Iteration 134, D_loss = 0.0000,G_loss = 20.6207,train acc = 0.8162, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 135, D_loss = 0.0000,G_loss = 20.6881,train acc = 0.8315, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 136, D_loss = 0.0000,G_loss = 20.7317,train acc = 0.8125, test acc = 0.8160,best acc = 0.8715,lr = 0.00020000 
Iteration 137, D_loss = 0.0001,G_loss = 20.7199,train acc = 0.8241, test acc = 0.7882,best acc = 0.8715,lr = 0.00020000 
Iteration 138, D_loss = 0.0000,G_loss = 20.6804,train acc = 0.8131, test acc = 0.8160,best acc = 0.8715,lr = 0.00020000 
Iteration 139, D_loss = 0.0000,G_loss = 20.7312,train acc = 0.8058, test acc = 0.8368,best acc = 0.8715,lr = 0.00020000 
Iteration 140, D_loss = 0.0000,G_loss = 20.7865,train acc = 0.8174, test acc = 0.8021,best acc = 0.8715,lr = 0.00020000 
Iteration 141, D_loss = 0.0000,G_loss = 20.8423,train acc = 0.8058, test acc = 0.8264,best acc = 0.8715,lr = 0.00020000 
Iteration 142, D_loss = 0.0000,G_loss = 20.8612,train acc = 0.8229, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 143, D_loss = 0.0000,G_loss = 20.9344,train acc = 0.8248, test acc = 0.8438,best acc = 0.8715,lr = 0.00020000 
Iteration 144, D_loss = 0.0000,G_loss = 20.9267,train acc = 0.8002, test acc = 0.8472,best acc = 0.8715,lr = 0.00020000 
Iteration 145, D_loss = 0.0000,G_loss = 20.9566,train acc = 0.8199, test acc = 0.8021,best acc = 0.8715,lr = 0.00020000 
Iteration 146, D_loss = 0.0000,G_loss = 20.8821,train acc = 0.8211, test acc = 0.8264,best acc = 0.8715,lr = 0.00020000 
Iteration 147, D_loss = 0.0000,G_loss = 21.0071,train acc = 0.8303, test acc = 0.8403,best acc = 0.8715,lr = 0.00020000 
Iteration 148, D_loss = 0.0000,G_loss = 21.2099,train acc = 0.8009, test acc = 0.8542,best acc = 0.8715,lr = 0.00020000 
Iteration 149, D_loss = 0.0000,G_loss = 20.3926,train acc = 0.8027, test acc = 0.8021,best acc = 0.8715,lr = 0.00020000 
Iteration 150, D_loss = 0.0000,G_loss = 20.0016,train acc = 0.8248, test acc = 0.8125,best acc = 0.8715,lr = 0.00020000 
Iteration 151, D_loss = 0.0000,G_loss = 20.5724,train acc = 0.8254, test acc = 0.8438,best acc = 0.8715,lr = 0.00020000 
Iteration 152, D_loss = 0.0000,G_loss = 20.1271,train acc = 0.8009, test acc = 0.8472,best acc = 0.8715,lr = 0.00020000 
Iteration 153, D_loss = 0.0000,G_loss = 20.2948,train acc = 0.8272, test acc = 0.8403,best acc = 0.8715,lr = 0.00020000 
Iteration 154, D_loss = 0.0000,G_loss = 20.4545,train acc = 0.8290, test acc = 0.8160,best acc = 0.8715,lr = 0.00020000 
Iteration 155, D_loss = 0.0000,G_loss = 20.5788,train acc = 0.8131, test acc = 0.8160,best acc = 0.8715,lr = 0.00020000 
Iteration 156, D_loss = 0.0000,G_loss = 20.7125,train acc = 0.8125, test acc = 0.8472,best acc = 0.8715,lr = 0.00020000 
Iteration 157, D_loss = 0.0000,G_loss = 20.8401,train acc = 0.8009, test acc = 0.8194,best acc = 0.8715,lr = 0.00020000 
Iteration 158, D_loss = 0.0000,G_loss = 20.9484,train acc = 0.8070, test acc = 0.8194,best acc = 0.8715,lr = 0.00020000 
Iteration 159, D_loss = 0.0000,G_loss = 21.1036,train acc = 0.8113, test acc = 0.8681,best acc = 0.8715,lr = 0.00020000 
Iteration 160, D_loss = 0.0000,G_loss = 21.2104,train acc = 0.8199, test acc = 0.8264,best acc = 0.8715,lr = 0.00020000 
Iteration 161, D_loss = 0.0000,G_loss = 21.3103,train acc = 0.8162, test acc = 0.7986,best acc = 0.8715,lr = 0.00020000 
Iteration 162, D_loss = 0.0000,G_loss = 21.4135,train acc = 0.8229, test acc = 0.8264,best acc = 0.8715,lr = 0.00020000 
Iteration 163, D_loss = 0.0000,G_loss = 21.5260,train acc = 0.8254, test acc = 0.8715,best acc = 0.8715,lr = 0.00020000 
Iteration 164, D_loss = 0.0000,G_loss = 21.6651,train acc = 0.8205, test acc = 0.8090,best acc = 0.8715,lr = 0.00020000 
Iteration 165, D_loss = 0.0000,G_loss = 21.7688,train acc = 0.8192, test acc = 0.8576,best acc = 0.8715,lr = 0.00020000 
Iteration 166, D_loss = 0.0000,G_loss = 21.8523,train acc = 0.8205, test acc = 0.8264,best acc = 0.8715,lr = 0.00020000 
Iteration 167, D_loss = 0.0000,G_loss = 21.9500,train acc = 0.8119, test acc = 0.8299,best acc = 0.8715,lr = 0.00020000 
Iteration 168, D_loss = 0.0000,G_loss = 22.0667,train acc = 0.8113, test acc = 0.8229,best acc = 0.8715,lr = 0.00020000 
Iteration 169, D_loss = 0.0000,G_loss = 22.1803,train acc = 0.8027, test acc = 0.8368,best acc = 0.8715,lr = 0.00020000 
Iteration 170, D_loss = 0.0000,G_loss = 22.2605,train acc = 0.8082, test acc = 0.8576,best acc = 0.8715,lr = 0.00020000 
Iteration 171, D_loss = 0.0000,G_loss = 22.3606,train acc = 0.8358, test acc = 0.8507,best acc = 0.8715,lr = 0.00020000 
Iteration 172, D_loss = 0.0000,G_loss = 22.4681,train acc = 0.8156, test acc = 0.8264,best acc = 0.8715,lr = 0.00020000 
Iteration 173, D_loss = 0.0000,G_loss = 22.5321,train acc = 0.8272, test acc = 0.8194,best acc = 0.8715,lr = 0.00020000 
Iteration 174, D_loss = 0.0000,G_loss = 22.5883,train acc = 0.8107, test acc = 0.8125,best acc = 0.8715,lr = 0.00020000 
Iteration 175, D_loss = 0.0000,G_loss = 22.6603,train acc = 0.8284, test acc = 0.8090,best acc = 0.8715,lr = 0.00020000 
Iteration 176, D_loss = 0.0000,G_loss = 22.7674,train acc = 0.8199, test acc = 0.8542,best acc = 0.8715,lr = 0.00020000 
Iteration 177, D_loss = 0.0000,G_loss = 22.8773,train acc = 0.8107, test acc = 0.8403,best acc = 0.8715,lr = 0.00020000 
Iteration 178, D_loss = 0.0000,G_loss = 22.9711,train acc = 0.8272, test acc = 0.8090,best acc = 0.8715,lr = 0.00020000 
Iteration 179, D_loss = 0.0000,G_loss = 23.0695,train acc = 0.8223, test acc = 0.7674,best acc = 0.8715,lr = 0.00020000 
Iteration 180, D_loss = 0.0000,G_loss = 23.1713,train acc = 0.8150, test acc = 0.8542,best acc = 0.8715,lr = 0.00020000 
Iteration 181, D_loss = 0.0000,G_loss = 23.2527,train acc = 0.8272, test acc = 0.8715,best acc = 0.8715,lr = 0.00020000 
Iteration 182, D_loss = 0.0000,G_loss = 23.3315,train acc = 0.8094, test acc = 0.7986,best acc = 0.8715,lr = 0.00020000 
Iteration 183, D_loss = 0.0000,G_loss = 23.4717,train acc = 0.8064, test acc = 0.8160,best acc = 0.8715,lr = 0.00020000 
Iteration 184, D_loss = 0.0000,G_loss = 23.5290,train acc = 0.8229, test acc = 0.8299,best acc = 0.8715,lr = 0.00020000 
Iteration 185, D_loss = 0.0000,G_loss = 23.6213,train acc = 0.8223, test acc = 0.8472,best acc = 0.8715,lr = 0.00020000 
Iteration 186, D_loss = 0.0000,G_loss = 23.6975,train acc = 0.8199, test acc = 0.7986,best acc = 0.8715,lr = 0.00020000 
Iteration 187, D_loss = 0.0000,G_loss = 23.7706,train acc = 0.8002, test acc = 0.7986,best acc = 0.8715,lr = 0.00020000 
Iteration 188, D_loss = 0.0000,G_loss = 23.8696,train acc = 0.8100, test acc = 0.8090,best acc = 0.8715,lr = 0.00020000 
Iteration 189, D_loss = 0.0000,G_loss = 23.9498,train acc = 0.8174, test acc = 0.8438,best acc = 0.8715,lr = 0.00020000 
Iteration 190, D_loss = 0.0000,G_loss = 24.0422,train acc = 0.7892, test acc = 0.8576,best acc = 0.8715,lr = 0.00020000 
Iteration 191, D_loss = 0.0000,G_loss = 24.1187,train acc = 0.8235, test acc = 0.8229,best acc = 0.8715,lr = 0.00020000 
Iteration 192, D_loss = 0.0000,G_loss = 24.2233,train acc = 0.8168, test acc = 0.8611,best acc = 0.8715,lr = 0.00020000 
Iteration 193, D_loss = 0.0000,G_loss = 24.8235,train acc = 0.8211, test acc = 0.8715,best acc = 0.8715,lr = 0.00020000 
Iteration 194, D_loss = 0.0000,G_loss = 24.4130,train acc = 0.8376, test acc = 0.8715,best acc = 0.8715,lr = 0.00020000 
Iteration 195, D_loss = 0.0000,G_loss = 24.4216,train acc = 0.8076, test acc = 0.8229,best acc = 0.8715,lr = 0.00020000 
Iteration 196, D_loss = 0.0000,G_loss = 24.4991,train acc = 0.8235, test acc = 0.8299,best acc = 0.8715,lr = 0.00020000 
Iteration 197, D_loss = 0.0000,G_loss = 24.5731,train acc = 0.8192, test acc = 0.8472,best acc = 0.8715,lr = 0.00020000 
Iteration 198, D_loss = 0.0000,G_loss = 24.6600,train acc = 0.8131, test acc = 0.8681,best acc = 0.8715,lr = 0.00020000 
