Iteration 41, D_loss = 0.0000,G_loss = 19.5538,train acc = 0.8235, train f1 = 0.0110, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 42, D_loss = 0.0000,G_loss = 19.5957,train acc = 0.8235, train f1 = 0.0108, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 43, D_loss = 0.0000,G_loss = 20.2114,train acc = 0.8235, train f1 = 0.0105, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 44, D_loss = 0.1877,G_loss = 19.3059,train acc = 0.8382, train f1 = 0.0104, test acc = 0.8438, test f1 = 0.0007, best acc = 0.8646, best f1 = 0.0007, lr = 0.00020000 
Iteration 45, D_loss = 0.0856,G_loss = 10.4610,train acc = 0.8254, train f1 = 0.0103, test acc = 0.8368, test f1 = 0.0007, best acc = 0.8646, best f1 = 0.0007, lr = 0.00020000 
Iteration 46, D_loss = 0.0011,G_loss = 14.3606,train acc = 0.8358, train f1 = 0.0101, test acc = 0.8299, test f1 = 0.0007, best acc = 0.8646, best f1 = 0.0007, lr = 0.00020000 
Iteration 47, D_loss = 0.0004,G_loss = 15.6862,train acc = 0.8272, train f1 = 0.0099, test acc = 0.8194, test f1 = 0.0007, best acc = 0.8646, best f1 = 0.0007, lr = 0.00020000 
Iteration 48, D_loss = 0.0003,G_loss = 16.4825,train acc = 0.8290, train f1 = 0.0097, test acc = 0.8125, test f1 = 0.0007, best acc = 0.8646, best f1 = 0.0007, lr = 0.00020000 
Iteration 49, D_loss = 0.0002,G_loss = 16.9814,train acc = 0.8297, train f1 = 0.0095, test acc = 0.8125, test f1 = 0.0007, best acc = 0.8646, best f1 = 0.0007, lr = 0.00020000 
Iteration 50, D_loss = 0.0002,G_loss = 17.4257,train acc = 0.8241, train f1 = 0.0093, test acc = 0.7951, test f1 = 0.0007, best acc = 0.8646, best f1 = 0.0007, lr = 0.00020000 
Iteration 51, D_loss = 0.0001,G_loss = 17.7413,train acc = 0.8303, train f1 = 0.0091, test acc = 0.8507, test f1 = 0.0006, best acc = 0.8646, best f1 = 0.0007, lr = 0.00020000 
Iteration 52, D_loss = 0.0001,G_loss = 18.1063,train acc = 0.8205, train f1 = 0.0090, test acc = 0.8819, test f1 = 0.0006, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 53, D_loss = 0.0001,G_loss = 18.3318,train acc = 0.8352, train f1 = 0.0088, test acc = 0.8090, test f1 = 0.0006, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 54, D_loss = 0.0001,G_loss = 18.5579,train acc = 0.8241, train f1 = 0.0086, test acc = 0.8368, test f1 = 0.0006, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 55, D_loss = 0.0001,G_loss = 18.7917,train acc = 0.8272, train f1 = 0.0085, test acc = 0.8368, test f1 = 0.0006, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 56, D_loss = 0.0001,G_loss = 19.0427,train acc = 0.8119, train f1 = 0.0083, test acc = 0.8507, test f1 = 0.0006, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 57, D_loss = 0.0001,G_loss = 19.1376,train acc = 0.8211, train f1 = 0.0082, test acc = 0.8229, test f1 = 0.0006, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 58, D_loss = 0.0000,G_loss = 19.3127,train acc = 0.8174, train f1 = 0.0081, test acc = 0.8472, test f1 = 0.0006, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 59, D_loss = 0.0000,G_loss = 19.4670,train acc = 0.8272, train f1 = 0.0079, test acc = 0.8299, test f1 = 0.0006, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 60, D_loss = 0.0000,G_loss = 19.6453,train acc = 0.8217, train f1 = 0.0078, test acc = 0.8229, test f1 = 0.0005, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 61, D_loss = 0.0000,G_loss = 19.7373,train acc = 0.8205, train f1 = 0.0077, test acc = 0.8299, test f1 = 0.0005, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 62, D_loss = 0.0000,G_loss = 19.8919,train acc = 0.8248, train f1 = 0.0075, test acc = 0.8264, test f1 = 0.0005, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 63, D_loss = 0.0000,G_loss = 20.0107,train acc = 0.8143, train f1 = 0.0074, test acc = 0.8472, test f1 = 0.0005, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 64, D_loss = 0.0000,G_loss = 20.1137,train acc = 0.8199, train f1 = 0.0073, test acc = 0.8333, test f1 = 0.0005, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 65, D_loss = 0.0000,G_loss = 20.1878,train acc = 0.8199, train f1 = 0.0072, test acc = 0.8299, test f1 = 0.0005, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 66, D_loss = 0.0000,G_loss = 20.3354,train acc = 0.8235, train f1 = 0.0071, test acc = 0.8333, test f1 = 0.0005, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 67, D_loss = 0.0000,G_loss = 20.4128,train acc = 0.8235, train f1 = 0.0070, test acc = 0.8333, test f1 = 0.0005, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 68, D_loss = 0.0000,G_loss = 20.5001,train acc = 0.8241, train f1 = 0.0069, test acc = 0.8472, test f1 = 0.0005, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 69, D_loss = 0.0000,G_loss = 20.6016,train acc = 0.8211, train f1 = 0.0068, test acc = 0.8333, test f1 = 0.0005, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 70, D_loss = 0.0000,G_loss = 20.6479,train acc = 0.8235, train f1 = 0.0067, test acc = 0.8333, test f1 = 0.0005, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 71, D_loss = 0.0000,G_loss = 20.7095,train acc = 0.8248, train f1 = 0.0066, test acc = 0.8333, test f1 = 0.0005, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 72, D_loss = 0.0000,G_loss = 20.7935,train acc = 0.8248, train f1 = 0.0065, test acc = 0.8333, test f1 = 0.0005, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 73, D_loss = 0.0000,G_loss = 20.8470,train acc = 0.8241, train f1 = 0.0064, test acc = 0.8333, test f1 = 0.0005, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
